text,label
 có     ăn   thử           nên   thử   được   khá   nhiều        ăn_ở    tương_đối   nhiều   nên    đông     sẽ   thử   được   nhiều   hơn      chuyên   về    nên   ăn   nhiều   cũng   mau   ngán   lắm   Phục_vụ    nhiều    đông    quá   nên   cũng     xíu       nên   đặt    sớm    sau     đôi_khi   đặt    rồi    vẫn   phải   chờ    quá   đông     dao_động     đông   chia   ra   sẽ   tiện   hơn      nhỏ   nên    đông   cũng    bất_tiện   xíu   trong    xếp     ,1
  mang        muốn   ăn     hẹn    ra     đặc_biệt   nhất_là     rút     cay   hoặc   không   cay        ăn    vừa     còn   có   thêm    tráng_miệng   như    chiên     trộn    lúc_nào   cũng   đông     phục_vụ   tốt    cũng      ,1
  ngay    dễ   tìm     ăn   ngay      trong   hết    nên   được   hỏi        ngồi     luôn   ngồi     ngắm    sá   ăn     đầy_ắp       ăn   mệt   xỉu   xong   phải   gói    về   Về    ăn    rất   rất    ngon    đậm_đà      ăn    hợp     trộn   cũng   rất     đầy    rất   nhiều      cũng   ngon   nữa      cho        Nếu     đông   sẽ   hợp_lí   hơn   và   ăn   được   nhiều    hơn   dễ_thương   lắm    Vừa   nhỏ_nhẹ   vừa   chu_đáo     trong   trống      có   chạy   tới   hỏi    cần   dọn    trong   không   nhưng    đang   ăn   dở_dang   nên    không   chuyển   vào     cũng   nhanh   lẹ   dù   đông    rất   niềm_nở       ,1
 nướng    siêu   ngon   lại      đủ   cho    ăn   bình_thường   nếu   ăn   khỏe   Ăn      hết   có    mà      no   luôn      ăn   sớm     chờ    lâu    ,1
 nằm   ngay    nên   rất   dễ   tìm   đặt_chân   vào    liền   thích_thú      hát     mang   đậm       trang_trí      thoáng   mát   có     nhìn   thấy    tạo   nên    vô_cùng   thoải_mái      vào             rút     cay      có     cho    lựa_chọn   luôn   thích    nào    dùng      phục_vụ      thân_thiện    có   ngay   hạn_chế      gửi       lấy     bảo   về   chậm_chạp    bực       phục_vụ      hết      ,1
-    nướng   không     ăn   kèm      nhiều   ăn_không   hết    mà      nữa    nướng    cũng   nhiều   Ăn     quá   no    nghĩ    ăn    hợp_lí   hơn    vui_vẻ   và   phục_vụ   tân    Có   phục_vụ    nữa    và    trộn   ăn   kèm    nữa    ngay     và    rất   dễ   kiếm    nhẹ_nhàng   thoải_mái   lắm   Nhưng   có   tính    nữa       ,1
Đi     mới    ăn      tới    báo   hết     ra     nhất_quyết   ăn   bằng    có   lẻ     ham   ăn     đúng          cay    bưng   ra    kì   kì      ăn      nói       ăn   đắm_đuối    về    còn   nói    ăn   chưa   đã   ăn   chưa   no   mà   Đúng     bỏ    lặn_lội    tân    ra     ,1
    và     tình_cờ    ngang   nên   ghé    luôn    nằm   ngay          đối_diện    nên   dễ   kiếm   Nhìn   xa_xa   tưởng   vắng    dè     đông    đông   gần    ngồi     chờ   luôn    chờ   gần    mới   có     cũng   nhỏ_nhắn   ngập     rán   có     nữa    cũng   đa_dạng   chủ_yếu     có    rán   nướng   sốt     trộn   hàn          biết   nên     nhiều     ăn   cũng    nhân     tuy_nhiên   lạc   quá   cần     lại   xíu    nướng   thơm   ngon    giòn    rất   mềm   và      đều   thích    kêu   thêm     sốt    mê   luôn    rất   ngon   đậm_đà   hơn      mà     ít   nhiều    hơn    ngon   hơn      mang   về    nhiều    quá   ăn      mang   về   để   qua    ăn   vẫn   ngon    thêm    theo    nữa   ăn     chiên     cũng   rất   ngon    và   có   tận    sốt    xào   cũng    ráng   ăn   mới   hết    quá   no    sau   phải      đông    mới   ăn   hết   được    cũng    quá   mắc       phục_vụ    có_vẻ    mới   làm_việc   nên   còn   lóng_ngóng    hỏi     có   cay   không    hỏi   chạy    hỏi    khác           sau     khác   trực   có    hơn    có   giao     cũng   khá   tiện   Chắc_chắn    sau   sẽ   ghé   thử     khác    ,1
Mua   có     thập_cẩm   mà     đợi   hơn    Hỏi   lại      có     bảo   chờ   thêm    nữa    e    liền    biết   có   ngon     cũng   muốn   ăn   thử      nên   xem_lại     và       ,0
   ăn   chán   lắm     nhạt   không   có    đáng   để   khen   hết     còn   lại   chưa   thử   nên   không   có      ,0
 ngon   Khó   kiếm    dành   cho   mua   mang   về   thôi   đợi    lận   để   làm   nóng    Nhưng    vẫn    thấy   nóng   nguội   nguội       cứng     nhỏ_xíu   bỏ   mua     trên      còn   ngon   hơn   nhiều    ,0
         ngon     đều   ngon   và   béo     béo_béo       mà       xanh   làm   thất_vọng   quá     xíu   như     nhân   ăn    đúng    hay    xanh     ,0
 không   ngon   Qua   bình_thường      quá   mắc    ,0
  nhìn    nghĩ   sẽ   ngon   giống   như      nên   rủ     ăn      viên        mà   ăn    cảm_nhận          toàn       ngay      ăn    cho_biết    thôi       ngon    hết      ,0
Phục_vụ       ăn   thấy   bình_thường    ăn    xanh   mà   không   thấy     xanh    hết   kêu     mà     bấm      chíp       ,0
 sáng_sủa    ngồi     hạn_chế     làm    có      nên   ngồi   lâu   bị    và   mệt   tới          và      trên     mới   có   chắc     đông    giảm_giá    tươi   cũng   khó   làm   nhanh    nhận       thấy    quên   bỏ    nên   nhắc    quay   qua   quay   lại   kiếm   không   ra    hỏi      biết   sau    quay   qua   quản_lý    trắng   hỏi    quản_lý   bỏ     sau     khác   bỏ   thêm    khác    nữa   rồi   đưa      thử   và   nhận   ra     phải    mà      phản_ánh   lại     giải_thích      mới   ngon   thật       nghĩ    hết     nên   xin_lỗi   không   nên   lấp_liếm     ăn      còn   lại   cũng    phải    mà         quá   nản      có     nhưng   lại   có   thêm   rất   nhiều      và    cháy       tập    ăn   dẻo   dẻo   không   rõ      cười    và    lung_tung   Phục_vụ    và   thiếu    nhưng   lại   thanh_minh   lấp_liếm   không   nhận     sẽ   không   quay   lại     ,0
  khá    nổi_tiếng    mới   có    ghé   thử       khá   dễ   tìm     nhỏ      đông   lắm   phải   đợi   lâu    bình_thường      đông   quá   nên   cũng   thông_cảm   ăn   gọi    sốt    cay    quá     ăn   vào    thơm     đã   có    rồi   cộng   thêm    nữa   ăn   rất   ngáy    ngán   lắm   trộn      ăn    cay   nóng_hổi   luôn    ăn    nhưng    đặc_sắc       ăn    đáng    chiên   dở   và   ăn     ngon     như         quá   đắt   so     Mà    ăn   phải    như_thế    cũng    mệt   có    miễn_phí      tới   ăn   nhớ   hỏi    ,0
Ăn_ở    được       tính    viết   bình_luận   lâu   rồi   nhưng      đi_về    không   có   hài_lòng   như     trước    ăn    khai_trương   dù   đợi     lâu   nhưng        và      cũng   rất   dễ_thương   làm    cũng   vui_vẻ   đợi       quên   đem    chiên   ra   mà    cũng     mất    tính    cũng   không   để_ý    có   tính     luôn    về   tới    có     nhắc   mới   nhớ   Nhưng     đang   ăn    chưa   chín   được    vui_vẻ   đổi   lại   cũng      bảo   hư    nên   ngưng   phục_vụ   bảo   qua    nữa   mới   hoạt_động   lại   được      cũng    dù   không   tươi_cười     nhưng   không   làm     tới    gần    nhất      cũng      nhưng    tệ    kêu   khản   cổ   trong     không   quá   đông   nói_chuyện     mà   cộc_lốc   Đứng    đợi   bảo_vệ   đưa       Vào    không     Xin    chấm    nhăn   nhăn   Đang   ăn    còn   trên    mà   đã    dẹp     đuổi   hay      dễ_thương   biết_bao_nhiêu    chắc   đôn    rồi   nên   không   cần    nữa    tiếp_theo   hay   không    đợi   suy_nghĩ     ,0
     cùng       gọi     không     -    mềm   khá   ngon   nhưng    ít        -   cay_cay   ngon   ngon         luôn     tưởng    ăn   sẽ   không   đủ    dè   ăn   xong    nào     no   luôn       và      -    mới   ăn       luôn     như     mới   nhưng    có      và     ăn   tạm   được   nhưng    thích     hơn             nên    có_vẻ   vắng   nhưng   gọi    xong   phải   chờ   rất   lâu     mới    mang   ra    nhớ   không   lầm     và      làm    không   hài_lòng   Gọi      chụm    chụm    lại   nói_chuyện   riêng       không    ra   ghi         nên   bật      đúng   thấy    bật     mà   bật    bật   lại   nên    mới   nói_nhỏ        có    bật    khác    không      nói    thấy   lịch_sự   mà     liếc   dọc   liếc   ngang        xong    luôn      cho   còn   phục_vụ    chắc    thôi     Nếu    khắc_phục   và   tiếp_tục   phát_huy     cộng     trừ   trên    sẽ   tốt   hơn   theo    nghĩ       ,0
Lâu   rồi    ghé     định   rủ         nhưng   sợ    có    nên   thôi   ghé    luôn   mà    còn   khá   đông    đợi     mới   có          sốt   cay   và      vẫn    riêng      nhạt     ngon    sốt   cay   vừa     Nhưng    phục_vụ   quá   tệ       nên        hôi   toàn      kêu    đổi      khó_chịu    đổi    cũng   chẳng    nản   xin   sốt   chấm   chẳng    thèm   mang   ra    thấy   tụm   tụm    gọi    nói_chuyện   kêu     thèm   nghe    cho    trước    ăn      đông   nhưng      phục_vụ   rất   tốt   chẳng   nhớ         chẳng   làm      nhìn    làm    thấy   nản   chắc    ghé   lại   quá   mà   có          ăn   mất      nhận     như_thế     ,0
  ăn   kêu             đều   dở   Nhất_là       có        mà   siêu   mắc    hơn    nguyên         mà      toàn        rồi    vào    nhẫy     có   tẩm   sốt     Chỉ   có    như     nướng    cũng    có    thơm   như     khác   Mà     đắt   so         khác      quen       và     cũng   ăn   rồi     dở   quá    ,0
Không   hiểu      khen   được     hết   toàn     và    Kêu          và     -    thân_thiện    hiểu              kêu     nhắc     bảo    kêu   Cũng     xin_lỗi     đợi   gần    có      cười     nào   Cứ    lấy        lên    -        ngon   ngon   hơn    Làm_ơn       thấy      chấm     sốt    có    Mà        mua      dễ   làm    đỏ   đỏ     Cuối_cùng   thành   ăn    chấm       luộc   hay   chiên   còn   ngon   hơn   -         ăn   mà   toàn    ăn   sốt   vào      cay    e    cứ   bảo   cay   lắm    còn        có      -      ăn    -     bái      tạo    ảo   lên   khen     thấy       trớt     bất_cứ     sốt   chắc   nổi     đông    gần    chứ   còn   lại    dở   tệ          nhỏ   hẹp       nghe   hay   nhưng      chọn_lọc     mà   nguyên    +     Nhìn   lên    chỉ   toàn       ,0
 quá   tệ    ăn_ở    được       ăn       rất   ngon     phục_vụ   rất   dễ_thương    quay   lại        lại   khác   hoàn_toàn     gọi      phục_vụ   đem   ra     hằn_học       thấy     chắc     mới   tuyển     trước   khá   ổn   chỉ   riêng     làm    thất_vọng   về     kêu   để   xin   sốt   mà     cứ   ngồi   xem   như    nghe   thấy      rất   ngon   nhưng   nên   xem_lại        trong         chịu     ,0
   cay   và   cay   đều   có    ngon    nhưng     rất   thích   ăn   cay   nên   thích      cay   hơn     lọc    nên   ăn   rất          bị   bự   và   nhiều   so      đông   chắc   sẽ   vui   hơn    gọi    nhiều     trộn   cũng   rất    ngon     nào   cũng     nên   chưa   thử    nhiều    sẽ   ghé   lại    nữa      mà   cho   ít    quá   lên    cũng   rất    lâu   luôn   phục_vụ   cũng   tạm   Mà      uống   chán   quá   toàn     chứ    có    ép    Còn      xa     ,0
  và    đã      vào      gọi      không    cảm_nhận   đầu_tiên     rất   ngon   ướp   thấm   và    rất   hài_lòng   về    nhưng   ăn     cuối_cùng    dùng    tách      trong   vẫn    và   thậm_chí   còn     quá    và   lo_lắng      vừa   ăn   vào    có   chín     trong   không    gọi   phục_vụ     phục_vụ   nhìn   cười_cười   không    nói     xin_lỗi   hỏi     có   muốn    nấu   lại   cho   chín   không   Thật_sự       quá   rồi   nên    bảo   thôi   không   cần   đâu   để    tính    rồi   về   luôn   Không   ngờ    không    giảm_giá   cho    mà   vẫn   tính   đầy_đủ   +     thề   sẽ    quay   lại      nào   nữa   Quá   tức_giận   nên    cũng   quên   chụp    lại   để   làm     ,0
 cũng   được   nhưng   phục_vụ    vô_cùng   tệ   viên   cũng   dễ_thương   cười   tươi   nhưng   chưa   rành      cũng   phải   hỏi   quản_lý    quản_lý     nói_chuyện       mang   trợn       như   muốn    Không   nói     đuối     im_lặng   bỏ       xin_lỗi     như     quá   nên   lên   viết   cho     coi   chơi    chưa      cho_biết   Đi   rồi     muốn    lại            ,0
Đi   mua    xong    đang   chờ    ghé       trước      đá   xay   khá   nổi_tiếng    đầu_tiên     thoáng   hơn   nhiều    xinh_xắn    đa_dạng   thức   uống    rẻ    có       đào    không   khác     ghét   nhất_là   phục_vụ   khó_chịu   kinh_khủng    hỏi     không   biết    đá   xay     đen   hay      được   trả_lời    Đen    uống     chỉ   nghĩ    giỡn   sau   ra   tính       đủ    nên   đưa     lớn    có   nói    đừng   đưa   nhưng   chưa   kịp     chửi   xối_xả   Mới     giỡn       hả    lớn   rồi   cũng   không   phải     trẻ    mà   phục_vụ        không   ưa   nổi   rồi   Chẳng      chửi   dưới        chứ     chấp_nhận      phục_vụ   như    không   được    dẹp      quá_sức   thất_vọng    ,0
    di              không        lên      luôn     ghê     qua    dơ               tư    lau            không          giơ      còn      chi    co     lau        không      hay   thay    luôn           mang   ra        còn       mơ            mà      cư    nhơ     nhơ      no         ăn_không         tươi   cư    co     như     mơ     ra    đông           ăn            vê             vê    sinh           no        luôn    la     như                    châm   thêm       so   vơ           không        ,0
 phong_phú   nhiều    lạ    khá   hợp_lí    khá   ngon     Đi   ăn   vào    ăn     mà    vắng_vẻ   ăn       thấy     to_đùng   nổi    trong         và   tặng      bạch   nhưng   ăn     bạch   thấy   có    lạ   Nghe    nói      làm      Suốt           nghe_lỏm     ngon   nhiều    muốn   thử   nhưng   quá   sợ    luôn   vệ_sinh    cần   xem_lại      ,0
  cùng     gọi     gỡ   và    xào    thấy    gỡ   như    ngon   hơn    sánh   khá      lạ     thích    lắm      xào    nhìn   đẹp_mắt   nhưng    ngon   lắm     cho   thêm    nên    rất   ngang   khó   ăn  Phục_vụ   chậm      đông    ,0
